sequence,RiverSensorX,RiverSensorY,RiverSensorZ,RiverSensorADC3
616,-4446,51,309,1477
617,-4401,51,192,1476
618,-4401,-15,201,1476
619,-4443,-78,201,1475
620,-4434,-78,198,1474
621,-4434,-141,198,1474
622,-4458,-141,198,1474
623,-4458,-225,138,1473
624,-4443,-300,138,1478
625,-4404,-300,141,1477
626,-4404,-315,105,1477
627,-4350,-315,105,1476
628,-4350,-300,72,1475
629,-4329,-318,72,1474
630,-4275,-318,51,1474
631,-4275,-291,30,1474
632,-4281,-291,30,1474
633,-4281,-207,-6,1474
634,-4272,-84,-6,1473
635,-4266,-84,30,1477
636,-4266,6,48,1476
637,-4320,6,48,1475
638,-4320,69,129,1475
639,-4296,111,129,1474
640,-4302,111,120,1474
641,-4302,120,114,1474
642,-4296,120,114,1474
643,-4296,138,138,1473
644,-4284,159,138,1477
645,-4320,159,105,1476
646,-4320,168,174,1476
647,-4338,168,174,1475
648,-4338,141,159,1475
649,-4395,66,159,1474
650,-4452,66,201,1473
651,-4452,69,165,1473
652,-4467,12,165,1473
653,-4467,12,138,1473
654,-4524,-30,138,1478
655,-4572,-30,141,1477
656,-4572,-102,81,1477
657,-4590,-171,81,1476
658,-4590,-171,63,1475
659,-4572,-162,63,1474
660,-4584,-162,-18,1474
661,-4584,-219,-48,1473
662,-4605,-249,-48,1473
663,-4605,-249,0,1478
664,-4524,-285,0,1477
665,-4479,-285,-6,1472
666,-4479,-264,18,1476
667,-4458,-222,18,1475
668,-4458,-222,36,1475
669,-4443,-189,36,1474
670,-4371,-189,90,1473
671,-4371,-156,111,1473
672,-4341,-114,111,1473
673,-4341,-114,207,1478
674,-4293,-105,207,1478
675,-4215,-105,207,1477
676,-4215,-81,267,1477
677,-4248,-33,267,1475
678,-4248,-33,354,1476
679,-4194,-57,354,1474
680,-4167,-57,438,1474
681,-4167,-15,402,1473
682,-4206,-18,402,1473
683,-4206,-18,441,1478
684,-4251,6,441,1477
685,-4254,6,459,1476
686,-4254,-117,390,1476
687,-4350,-75,390,1475
688,-4395,-75,291,1475
689,-4395,-99,291,1474
690,-4479,-99,189,1474
691,-4479,-99,114,1474
692,-4491,-105,114,1474
693,-4560,-105,69,1473
694,-4560,-84,69,1478
695,-4572,-84,54,1477
696,-4572,-114,-39,1477
697,-4596,-63,-39,1476
698,-4602,-63,-18,1476
699,-4602,-24,-18,1475
700,-4572,-24,-108,1475
701,-4572,-18,-99,1474
702,-4536,15,-99,1473
703,-4491,15,-99,1473
704,-4491,6,-99,1473
705,-4479,6,-132,1478
706,-4479,9,-123,1477
707,-4401,21,-123,1477
708,-4413,21,-51,1476
709,-4413,-36,3,1475
710,-4362,-36,3,1475
711,-4362,0,36,1474
712,-4371,3,36,1474
713,-4287,3,132,1474
714,-4287,-21,201,1473
715,-4305,-21,201,1477
716,-4305,-42,249,1477
717,-4251,-6,249,1477
718,-4167,-6,309,1477
719,-4167,-75,363,1476
720,-4173,-75,363,1475
721,-4173,-96,330,1474
722,-4236,-102,330,1474
723,-4269,-102,411,1474
724,-4269,-90,303,1473
725,-4329,-90,303,1473
726,-4329,-111,294,1478
727,-4350,-186,294,1477
728,-4386,-186,291,1476
729,-4386,-177,180,1476
730,-4428,-177,180,1475
731,-4428,-165,171,1474
732,-4458,-216,171,1474
733,-4491,-216,210,1474
734,-4491,-219,87,1474
735,-4515,-219,87,1473
736,-4515,-222,72,1478
737,-4557,-219,72,1477
738,-4497,-219,114,1477
739,-4497,-219,81,1476
740,-4554,-90,81,1476
741,-4554,-90,72,1475
742,-4512,-60,72,1474
743,-4503,-60,45,1474
744,-4503,6,36,1473
745,-4464,21,36,1473
746,-4464,21,99,1472
747,-4464,66,99,1477
748,-4410,66,30,1477
749,-4410,93,9,1476
750,-4368,111,9,1476
751,-4368,111,81,1475
752,-4344,96,81,1474
753,-4323,96,81,1474
754,-4323,144,96,1473
755,-4314,111,96,1473
756,-4314,111,174,1472
757,-4293,87,174,1477
758,-4302,87,105,1477
759,-4302,-33,156,1477
760,-4386,-54,156,1476
761,-4386,-54,183,1476
762,-4350,-78,183,1476
763,-4383,-78,240,1475
764,-4383,-123,162,1474
765,-4320,-195,162,1472
766,-4350,-195,198,1473
767,-4350,-216,198,1473
768,-4347,-216,222,1478
769,-4347,-261,198,1478
770,-4377,-282,198,1477
771,-4398,-282,198,1476
772,-4398,-303,198,1475
773,-4446,-303,150,1474
774,-4446,-306,174,1474
775,-4416,-312,174,1473
776,-4455,-312,174,1472
777,-4455,-261,174,1472
778,-4455,-261,138,1478
779,-4455,-186,96,1477
780,-4533,-36,96,1477
781,-4479,-36,123,1476
782,-4479,-6,60,1475
783,-4419,-6,60,1475
784,-4419,54,12,1474
785,-4473,81,12,1474
786,-4425,81,114,1474
787,-4425,129,132,1473
788,-4425,129,132,1473
789,-4425,174,90,1477
790,-4362,168,90,1477
791,-4350,168,123,1476
792,-4350,201,63,1475
793,-4350,201,63,1474
794,-4350,156,165,1475
795,-4323,93,165,1474
796,-4359,93,96,1473
797,-4359,63,183,1473
798,-4341,63,183,1473
799,-4341,3,150,1478
800,-4353,-51,150,1478
801,-4332,-51,138,1476
802,-4332,-66,156,1475
803,-4347,-66,156,1474
804,-4347,-135,111,1474
805,-4380,-159,111,1474
806,-4368,-159,120,1473
807,-4368,-192,114,1473
808,-4389,-192,114,1473
809,-4389,-225,174,1478
810,-4362,-216,174,1477
811,-4377,-216,174,1476
812,-4377,-192,147,1476
813,-4350,-177,147,1474
814,-4350,-177,156,1474
815,-4365,-120,156,1473
816,-4398,-120,165,1473
817,-4398,-105,165,1473
818,-4377,-78,165,1473
819,-4377,-78,180,1477
820,-4419,-108,180,1477
821,-4386,-108,222,1476
822,-4386,-33,147,1476
823,-4401,-27,147,1474
824,-4401,-27,192,1474
825,-4404,-60,192,1474
826,-4410,-60,210,1473
827,-4410,-39,249,1473
828,-4440,-60,249,1473
829,-4440,-60,180,1477
830,-4428,-36,180,1477
831,-4458,-36,198,1476
832,-4458,-42,105,1476
833,-4467,-63,105,1475
834,-4467,-63,192,1474
835,-4482,-39,192,1473
836,-4467,-39,120,1473
837,-4467,-18,120,1473
838,-4509,-39,120,1473
839,-4509,-39,0,1477
840,-4485,-54,0,1477
841,-4419,-54,-33,1476
842,-4419,-18,-15,1475
843,-4425,-21,-15,1474
844,-4425,-21,27,1473
845,-4404,6,27,1473
846,-4407,6,90,1473
847,-4407,27,30,1473
848,-4347,12,30,1473
849,-4284,12,129,1477
850,-4284,48,129,1477
851,-4326,48,129,1477
852,-4326,24,165,1476
853,-4275,51,165,1475
854,-4266,51,228,1474
855,-4266,24,228,1474
856,-4284,24,240,1474
857,-4284,15,318,1473
858,-4332,-69,318,1473
859,-4338,-69,291,1477
860,-4338,-114,291,1476
861,-4365,-114,276,1476
862,-4365,-96,270,1476
863,-4443,-162,270,1476
864,-4464,-162,231,1475
865,-4464,-153,231,1473
866,-4482,-153,183,1474
867,-4482,-156,207,1473
868,-4476,-132,207,1473
869,-4476,-132,96,1473
870,-4476,-132,123,1473
871,-4476,-132,123,1477
872,-4476,-150,69,1476
873,-4464,-108,69,1476
874,-4512,-108,87,1475
875,-4512,-84,81,1474
876,-4446,-84,81,1473
877,-4446,-72,129,1472
878,-4455,-96,129,1473
879,-4416,-96,90,1472
880,-4416,-90,96,1473
881,-4422,-90,96,1477
882,-4422,-54,72,1477
883,-4452,-108,72,1476
884,-4452,-108,111,1475
885,-4452,-129,129,1474
886,-4398,-129,129,1473
887,-4398,-105,105,1472
888,-4410,-123,105,1472
889,-4440,-123,165,1472
890,-4440,-117,183,1472
891,-4410,-117,183,1477
892,-4410,-150,216,1477
893,-4380,-117,216,1476
894,-4365,-117,189,1476
895,-4365,-129,207,1475
896,-4353,-129,207,1474
897,-4353,-123,234,1474
898,-4347,-135,234,1474
899,-4296,-135,216,1473
900,-4296,-120,234,1473
901,-4287,-135,234,1477
902,-4287,-135,243,1477
903,-4248,-36,243,1476
904,-4254,-36,210,1476
905,-4254,3,240,1475
906,-4257,-6,240,1475
907,-4257,-6,165,1473
908,-4275,30,165,1473
909,-4281,30,156,1473
910,-4281,39,72,1473
911,-4332,72,72,1477
912,-4332,72,69,1477
913,-4386,75,69,1476
914,-4425,75,21,1476
915,-4425,123,0,1475
916,-4515,93,0,1475
917,-4515,93,-6,1474
918,-4539,93,-6,1474
919,-4575,93,-93,1473
920,-4575,78,-210,1473
921,-4629,60,-210,1472
922,-4629,60,-186,1477
923,-4635,78,-186,1477
924,-4629,78,-222,1476
925,-4629,69,-57,1475
926,-4614,3,-57,1475
927,-4614,3,-141,1474
928,-4614,-12,-141,1474
929,-4476,-12,-15,1473
930,-4476,-135,87,1472
931,-4404,-153,87,1477
932,-4359,-153,141,1477
933,-4359,-177,141,1476
934,-4248,-177,225,1476
935,-4248,-201,351,1475
936,-4095,-240,351,1474
937,-4038,-240,321,1474
938,-4038,-225,321,1474
939,-4002,-225,387,1473
940,-4002,-216,390,1473
941,-4008,-165,390,1473
942,-4056,-165,390,1477
943,-4056,-120,390,1476
944,-4170,-120,369,1476
945,-4170,-75,351,1475
946,-4239,-27,351,1475
947,-4302,-27,267,1474
948,-4302,51,267,1474
949,-4428,51,279,1474
950,-4428,48,156,1474
951,-4512,24,156,1473
952,-4737,24,147,1472
953,-4737,-1194,1422,1477
954,-4872,-1194,1422,1476
955,-4872,156,-51,1475
956,-4617,120,-51,1475
957,-4845,120,-252,1474
958,-4845,75,-246,1474
959,-4758,75,-246,1473
960,-4758,12,-228,1473
961,-4674,-75,-228,1473
962,-4755,-75,-186,1472
963,-4755,-153,-180,1477
964,-4635,-153,-180,1477
965,-4635,-198,-117,1472
966,-4587,-162,-117,1475
967,-4503,-162,-90,1474
968,-4503,-147,-6,1474
969,-4395,-147,-6,1474
970,-4395,-150,45,1474
971,-4224,-84,45,1473
972,-4143,-84,78,1473
973,-4143,-45,192,1477
974,-4095,-45,192,1477
975,-4095,12,225,1476
976,-3876,54,225,1476
977,-3762,54,258,1475
978,-3762,75,348,1474
979,-3783,75,348,1474
980,-3783,138,354,1474
981,-3873,141,354,1473
982,-4020,141,294,1473
983,-4020,204,243,1473
984,-4086,174,243,1478
985,-4086,174,363,1477
986,-4263,171,363,1476
987,-4368,171,309,1476
988,-4368,150,261,1475
989,-4494,87,261,1475
990,-4494,87,216,1475
991,-4593,-81,216,1474
992,-4671,-81,174,1474
993,-4671,-108,3,1473
994,-4728,-195,3,1473
